room_id,city,title
246147,rome,St. Peter Awesome Family Apartment
338741,rome,Penthouse + Eagle Eye Attic Combo
450791,rome,Ruby
170398,rome,Mazzini Square Central Renewed Apartment
451375,rome,Lucky Domus Esquilino
452423,rome,San Giovanni View
246118,rome,Trastevere Lovely Terrace Apartment
451361,rome,Marcello
452167,rome,Trastevere Great Beauty
452336,rome,Campo di Fiori Residence
451594,rome,Behind St.Peter
246109,rome,Via Giulia Charming & Cozy Apartment
246145,rome,Monti Amazing Family Apartment
362220,rome,St. Peter View
362232,rome,Vatican One Bedroom - Monte del gallo
362245,rome,St. Paul Basilica
362252,rome,St. Peter Suite
451184,rome,Superior Vatican
450738,rome,Messina Mondrian
246144,rome,Monti Beautiful Petit Clementine - 1 Bedroom Apartment in Colosseo
362239,rome,Vatican Domus Romae
451777,rome,Vatican Panorama
264695,rome,Amazing 1 Bedroom Apartment in Vaticano with Aircon - Vatican Luxury Loft
451017,rome,Il Tulipano Colosseo
362253,rome,Vatican Museum
442639,rome,Caracalla Area - Top Location - Stay All In
442652,rome,Testaccio Area - Great Location - Stay All In
451319,rome,Esedra
450706,rome,Donna Rossa
452048,rome,Passione Trastevere
452108,rome,Campo de' Fiori Vintage
452388,rome,Campo de' Fiori Gray
450682,rome,Campo De' Fiori Orange
451096,rome,Trastevere Belli
451363,rome,Domus Valentina
450684,rome,Bonheur Monti
451381,rome,Lucky Domus Appio
451107,rome,Trastevere Terrace C2
362233,rome,Domus Costanza
362237,rome,Vatican Dome
368696,rome,Zen Room Piazza Re di Roma B&B
368697,rome,Blue Room Piazza Re di Roma B&B
451270,rome,Terry's
451271,rome,Trastevere Sweet
451021,rome,Monte Farina
246143,rome,Beautiful Studio Castel Sant'Angelo
451016,rome,Saint Peter
451440,rome,Violet Suite
246117,rome,Cozy Elegant And Well Connected
450515,rome,Colosseo II
450516,rome,Dolce Albani
167139,rome,Cozy 1 Bedroom Apartment in San Lorenzo, Rome - Termini F
450633,rome,Sanniti
452150,rome,Colosseo Home
265335,rome,Family-friendly 2 Bedroom Apartment in Quartiere Portuense, Rome with Aircon and Parking
246103,rome,Trastevere Fantastic Terrace - 2 Bedroom Apartment
452131,rome,San Pietro Home
451171,rome,Monti Loft 2
452339,rome,Giulia Superior Suite III
452348,rome,Barberini Suite
451590,rome,The Crossroad
450887,rome,Otto House Roma
162383,rome,Vatican Panoramic 2 Bedroom
450574,rome,Tiburtino
362227,rome,Vatican Suite
362231,rome,Vatican Hill
144751,rome,Charming 1 Bedroom Apartment in Campo dei Fiori - Eligio Campo dei Fiori Rome
452225,rome,Germaxi
452182,rome,Suite Capitale
452534,rome,Caracalla
