room_id,city,title
1296,rome,Roma - Passeggiata di Ripetta, Piazza del Popolo
1360,rome,Vatican Apt w Private Parking A Hedge side
1361,rome,Vatican Apt w/ Private Parking B Park Side
2817,rome,Fantastic 2 Bedroom Apartment in Vaticano with Aircon
2992,rome,Coccinella's House Baco da Seta - 2 Bedroom House in Vaticano , Rome
2993,rome,Coccinella's House Ape Regina
2994,rome,Coccinella's House Libellula
3018,rome,3 Bedroom Apartment in Colosseo , Rome
3019,rome,Campo De' Fiori - 1 Bedroom Apartment in Navona , Rome
3021,rome,Comfortable 1 Bedroom Apartment in Testaccio, Rome with Aircon
3022,rome,Via Giulia
3023,rome,Navona
3024,rome,Fori Imperiali
3025,rome,Baullari
3026,rome,Porta Portese
3027,rome,Agreeable 1 Bedroom Apartment in Colosseo with Aircon
3029,rome,Comfortable 1 Bedroom Apartment in Campo Marzio with Aircon
3032,rome,Intimate 1 Bedroom Apartment in Trastevere  with Aircon
3033,rome,1 Bedroom Apartment in Vaticano , Rome
3034,rome,Colosseo -1 Bedroom Apartment in Colosseo
3035,rome,DOMUS AUREA
3036,rome,1 Bedroom Apartment in Campo Dei Fiori, Rome
3038,rome,Piramide - 1 Bedroom Apartment in Testaccio, Rome
3042,rome,Luxury Apartment in Trastevere
3053,rome,San Cosimato - 2 Bedroom Apartment in Trastevere
3054,rome,Lovely 2 Bedroom Apartment in Colosseo with Aircon - Monti
3057,rome,San Giovanni-Apartment in Celio
3059,rome,LATERANO
3061,rome,Charming 2 Bedroom Apartment in Colosseo with Aircon
3063,rome,Palazzo Massimo - 1 Bedroom Apartment in Campo Marzio
3079,rome,MASTAI -3 Bedroom Apartment in Trastevere
3081,rome,Fantastic 2 Bedroom Apartment in Campo Marzio with Aircon
3082,rome,Dolce Vita I near Trevi/Spagna
3083,rome,Dolce Vita 2 - 1 Bedroom Apartment in Piazza di Spagna
3086,rome,Dolce Family
3088,rome,Monteverde - 2 Bedroom Apartment in Trastevere , Rome
3089,rome,1 Bedroom Apartment in Piazza Di Spagna, Rome
3091,rome,3 Bedroom Apartment in Colosseo, Rome
3093,rome,CELIO
3094,rome,Margutta -1 Bedroom Apartment in Piazza di Spagna
3095,rome,PANTHEON
3096,rome,PORTICO D'OTTAVIA
3104,rome,3 Bedroom Apartment in Piazza di Spagna
3105,rome,Super 3 Bedroom Apartment in Esquilino, Rome with Aircon
3106,rome,3BR Michelangelo
3108,rome,Via Condotti - 2 Bedroom Apartment in Piazza di Spagna
3334,rome,Lovely Studio Apartment in Colosseo
3380,rome,Trastevere Apartment
3606,rome,Villa Ada
4050,rome,Fab 1 Bedroom Apartment in Trastevere  with Aircon - Loft Tiberino
4051,rome,Charming Studio Apartment in Trastevere  with Aircon
4059,rome,Penthouse Monteverde in Central Rome
4355,rome,Vatican Apartment 3 Bedrooms Lovely
4589,rome,Ravizza 2 with Wi-Fi and Air-conditioning Near Trastevere
4652,rome,Delightful Studio Apartment in Colosseo with Aircon
4658,rome,Monteverde Lovely
4704,rome,Bernini - 5 Bedroom Apartment in Piazza Di Spagna, Rome
4929,rome,Lovely Single Room
5229,rome,History Room in a Beautiful Villa
5413,rome,Great 3 Bedroom Apartment in Vaticano with Aircon and Balcony
5495,rome,St.Peter-Atmosfere 1 - 1 Bedroom Apartment in Vaticano
5704,rome,RAFFAELLO
5719,rome,Balcony Room at F&F Vatican B&B
5723,rome,2 Bedroom Apartment in Prati, Rome
5724,rome,Courtyard Room at F&F Vatican B&B
5725,rome,Giuliana Room at F&F Vatican B&B - Studio Room in Rome
6189,rome,Casa Pariolina Suite - Villa Borghese
6190,rome,Romantic Suite - Casa Pariolina in Parioli, Rome
6191,rome,CasaPariolina room "Black & White"
6193,rome,CasaPariolina room "Black & White" - Single
6627,rome,Amazing 1 Bedroom Apartment in Colosseo with Aircon, Parking, and Balcony
6893,rome,B&B - Double Room
7006,rome,B&B Triple Room
7661,rome,Warm 1 Bedroom Apartment in Vaticano with Aircon
7810,rome,Trastevere Leopardo - Studio Apartment in Trastevere , Rome
8024,rome,Navona Little Tower
8054,rome,Stylish Top Floor in San Lorenzo
8065,rome,Lovely studio flat in Rome
8125,rome,B&B Inn Station Termini Guest House
8242,rome,Trastevere's Windows - 1 Bedroom Apartment in Trastevere
8254,rome,TRASTEVERE CHARMING IN THE HEART
8488,rome,Double Room In The Center Of Rome
9435,rome,1 Bedroom Bnb in Rome
9807,rome,Excellent 2 Bedroom Apartment in Prati, Rome - Balduina Apartment
9917,rome,Triple Room - Studio Room in Repubblica (Termini), Rome
11332,rome,Casa Cameli - Holiday House in Aurelio
11479,rome,Cozy 1 Bedroom Apartment in Pantheon, Rome
11672,rome,beautiful master bedroom in Monteverde
11686,rome,Trastevere Mirror
11996,rome,Good-sized 2 Bedroom Apartment in Trastevere  with Balcony
12047,rome,Villa Medici 3 Bedroom Apartment in Piazza di Spagna
12123,rome,Pleasant Studio Apartment in Trastevere  with Balcony
12124,rome,"BED IN TRASTEVERE" 2bedrooms, 1-6 guest
12302,rome,Cedro 1 Apartment in  in Trastevere
12312,rome,Cedro 3 - 1 Bedroom Apartment in Trastevere
12316,rome,Cedro 4 - 2 Bedroom Apartment in Trastevere
12321,rome,Trastevere - Cedro 5 Apartment
12389,rome,Center 2 Rooma Bed & Breakfast -  Parioli District
12390,rome,Center 2 Rooma Bed & Breakfast #2
12395,rome,Country Trastevere
12401,rome,Trastevere: Furnished 1 Br Apt
12406,rome,Furnished 2br in Central Trastevere
12407,rome,Lovely 1br with balcony near Vatican
12408,rome,casa massimi vaticano
12410,rome,Nice & Cosy Flat Apartment in Testaccio, Rome
12429,rome,B&B on the Aventino Hill
12432,rome,Comfy 1 Bedroom B&B in Esquilino, Rome with Aircon, Parking and Breakfast-Provided
12434,rome,B&B Suite in the Heart of Rome
12435,rome,Agreeable 1 Bedroom B&B in Esquilino, Rome with Aircon, Parking, Balcony, and Breakfast-provided
12436,rome,Triple Room in Elegant Guest House
12437,rome,Elegant Guest House
12440,rome,Ambasciatore -1 Bedroom Apartment in Aurelio
12441,rome,Single\double room - Best Kosher hotel in Rome
12442,rome,Red Suite - Best Kosher hotel in Rome
12443,rome,Blue Suite - Best Kosher Hotel in Rome
12444,rome,B&B 2 steps from St Peter (Single room)
12445,rome,B&B 2 Steps from St Peter (Single Room) #2
12446,rome,B&B Close to Vatican (Double Room)
12447,rome,B&B Close to Vatican - Double Room #2
12448,rome,B&B Triple Bedroom Close to Vatican
12449,rome,B&B Triple Room close to Vatican #2
12450,rome,B&B on the Aventino Hill #2
12451,rome,B&B on the Aventino Hill #3
12474,rome,flat for rent in ROME CITY CENTRE
12475,rome,Flat For Rent In Rome City Centre
12481,rome,Vaticano - Giuliana Apartment
12499,rome,B&B The Right Place - Vatican
12500,rome,Orazio Room
12501,rome,Mimosa
12502,rome,Lavanda Apartment
12503,rome,Virgilio Room
12504,rome,Pyracantha Apartment
12505,rome,Marziale Room
12506,rome,Giovenale Room
12533,rome,Residence Colosseo Rome
12534,rome,Comfortable 2 Bedroom Apartment in Colosseo with Aircon - Residence Caracalla Rome
12535,rome,Large 3 Bedroom Apartment in Rome with Aircon and Balcony
12536,rome,Via Veneto Apartment in Rome
12574,rome,Double Room in Charming Apartment
12576,rome,Double room in newly renovated apt
12577,rome,Room With 3 Beds In Charming Apt
12578,rome,San Pietro Single Room
12579,rome,San Pietro Double Room
12580,rome,San Pietro Triple Room
12581,rome,San Pietro Double Room w/ Private Bath
12584,rome,Double Room Superiore with private bath
12585,rome,San Pietro Triple Room w/ private bath
12586,rome,Triple Room Superiore with private bath
12602,rome,Bhagava - Studio Room in Aurelio, Rome
12603,rome,Lokavidu
12604,rome,Varada
12605,rome,Michaelangelo Double(Triple Room on Req)
12606,rome,Donatello - Double rm overlooking Piazza
12607,rome,Raffaello Double rm(Separate bed on rqt)
12608,rome,Leonardo Suite with Jacuzzi
12734,rome,B&B on the Aventino hill #4
12959,rome,Amazing Apartment at the Roman Forum
13003,rome,Well-spaced 1 Bedroom Apartment in Trastevere  with Aircon
13046,rome,Piazza della Quercia  - 3 Bedroom Apartment in Navona , Rome
13048,rome,Amazing 2 Bedroom Apartment in Quartiere Della Vittoria, Rome
13182,rome,Suite Giglio - 1 Bedroom B&B in Vaticano
13214,rome,Double Room Accommodation in Monteverde
13215,rome,Monteverde Double Room with Balcony
13558,rome,Dolce Vita Suite Porta Pia
13581,rome,Lovely 1 Bedroom B&B in Vaticano with Aircon,  Doorman, and  Breakfast-provided -  John XXIII
13629,rome,Agreeable 1 Bedroom B&B in Aurelio with Aircon and Breakfast-provided - Suite Mandarina
13631,rome,Agreeable 1 Bedroom B&B in Aurelio with Aircon and Breakfast-provided - Suite Fiordaliso
13637,rome,Warm 1 Bedroom B&B in Vaticano with Aircon,  Doorman, and  Breakfast-provided
13638,rome,Celestino V
14042,rome,Amazing Apartment At The Roman Forum
14226,rome,Single Room in Our Guest House
14227,rome,1 Bedroom B&B in Esquilino, Rome with Breakfast-Provided
14228,rome,1 Bedroom B&B in Esquilino, Rome with Breakfast-provided
15316,rome,Stunning Terrace 5 Min To Vatican City
15899,rome,2 Bedroom Apartment in Pantheon, Rome with Aircon - Roma Panteon / Piazza Navona Bellissimo
15953,rome,Charming 2 Bedroom Apartment in Aurelio with Aircon,  Balcony, and  Breakfast-provided - Amaryllis
15961,rome,Panoramic Penthouse For 5 Persons  in Piazza di Spagna
15971,rome,The Room Interno 2 in Rome
16096,rome,Townhouse with Terrace and View
16470,rome,Colosseo-painted double room
16471,rome,Pantheon - Studio Room in Trastevere , Rome
16472,rome,Villa Borghese - Studio Room in Trastevere , Rome
16473,rome,Gianicolo -Apartment in Trastevere, Rome
16474,rome,Fontana de Trevi
16925,rome,The Apartment Interno 2 - 1 Bedroom Apartment in Vaticano
