room_id,city,title
197,new york,
477,new york,Upper East Side间工作室公寓
492,new york,"large, sunny room available in great park slope apt"
622,new york,Brooklyn 1间绝佳卧室公寓
649,new york,Midtown East 1间卧室公寓
675,los angeles,Beautiful Spacious Fully Furnished View Condo; Daily to ...
701,san francisco,Argent Alley Panorama
812,san francisco,Potrero Hill 1间宽阔卧室公寓
844,san francisco,"Downtown, San Francisco间工作室公寓"
845,san francisco,Mission District间工作室公寓
846,san francisco,
851,los angeles,North Hollywood 1间卧室青年旅馆
852,los angeles,North Hollywood 1间卧室青年旅馆
853,los angeles,North Hollywood 1间卧室青年旅馆
854,los angeles,North Hollywood 1间卧室青年旅馆
855,los angeles,North Hollywood 1间卧室青年旅馆
856,los angeles,North Hollywood 1间卧室青年旅馆
857,los angeles,North Hollywood 1间卧室青年旅馆
858,los angeles,North Hollywood 1间卧室青年旅馆
859,los angeles,Silver Lake间工作室公寓
860,los angeles,Silver Lake 1间卧室公寓
869,los angeles,Silver Lake 2间宽敞卧室公寓
887,new york,
1135,london,
1170,new york,Chinatown 2间卧室公寓
1191,los angeles,West Hollywood 1间标致卧室独栋房屋
1230,los angeles,Santa Monica 4间受家庭青睐卧室独栋房屋
1266,new york,East Village 2间卧室公寓
1387,new york,Midtown East 2间卧室公寓
1485,los angeles,Central LA间工作室独栋房屋
1487,san francisco,
1489,san francisco,
1524,london,Hammersmith and Fulham间工作室公寓
1533,london,Hammersmith and Fulham间工作室公寓
1546,san francisco,Mission District间工作室公寓
1547,san francisco,Mission District间工作室公寓
1584,los angeles,Beverly Hills 1间高级卧室独栋房屋
1635,san francisco,"Downtown, San Francisco间工作室公寓"
1668,new york,Midtown West 3间卧室公寓
1669,new york,Midtown East 3间卧室公寓
1671,new york,Midtown East 2间卧室公寓
1681,new york,Midtown East 4间卧室公寓
1684,new york,Midtown East 2间卧室公寓
1695,new york,Chinatown 2间卧室公寓
1707,new york,East Village 1间卧室公寓
2082,san francisco,Haight-Ashbury 2间卧室独栋房屋
2087,san francisco,Pacific Heights 1间精品卧室公寓
2090,san francisco,"Western Addition, San Francisco 2间光彩夺目卧室公寓"
2091,san francisco,"Castro, San Francisco 1间卧室公寓"
2093,san francisco,Presidio Heights 4间卧室公寓
2096,new york,Midtown East 2间卧室公寓
2097,san francisco,Mission District 2间卧室公寓
